Mm_genes,Hs_genes
Hlx,HLX
Wdr45,WDR45
Dusp10,DUSP10
Cdh6,CDH6
Ccdc81,CCDC81
Mreg,MREG
Neil3,NEIL3
Prss23,PRSS23
Prdm16,PRDM16
Heatr5b,HEATR5B
Cntnap2,CNTNAP2
Alg1,ALG1
Tmem135,TMEM135
Mtmr7,MTMR7
Ttc36,TTC36
Prpf18,PRPF18
Dcxr,DCXR
Snx22,None
Morc3,MORC3
Ppl,PPL
Mtmr12,MTMR12
Tcta,TCTA
Col10a1,COL10A1
Slc9a8,SLC9A8
Zdhhc2,ZDHHC2
Ubn1,UBN1
Wfs1,WFS1
Prrx2,PRRX2
Tnrc18,TNRC18
Micu3,MICU3
Nt5dc1,NT5DC1
Nrtn,NRTN
Asb6,ASB6
Tspyl4,TSPYL4
Cntn5,CNTN5
Ccdc27,CCDC27
Cdnf,CDNF
Dse,DSE
Znfx1,ZNFX1
Calhm4,CALHM4
Nup133,NUP133
Uhrf1bp1,None
Ptpa,PTPA
Cdsn,CDSN
Cyp7b1,CYP7B1
Foxp3,FOXP3
Cep104,CEP104
Atp8b1,ATP8B1
Tusc3,TUSC3
Zup1,ZUP1
Mmd2,MMD2
Stau1,STAU1
Sgcz,SGCZ
X4921524L21Rik,None
Ncam1,NCAM1
Cfap70,CFAP70
Ajap1,AJAP1
Rsph4a,RSPH4A
Cylc2,None
Ppp1r3f,PPP1R3F
Ubald1,UBALD1
Nphp4,NPHP4
Ccser1,CCSER1
Grin3a,None
Myo9a,MYO9A
Fam149b,None
Rcan2,RCAN2
Rbms3,RBMS3
Olfr303,None
Tmem246,None
Stub1,STUB1
Mocos,MOCOS
Trmt9b,TRMT9B
Prex1,PREX1
Ap5z1,AP5Z1
Hs3st6,HS3ST6
Strip2,STRIP2
Hnrnpu,HNRNPU
Ccdc151,None
Lonrf1,LONRF1
Zfp189,None
Coro7,CORO7-PAM16
Kcne1,KCNE1B
Mrpl12,MRPL12
Vasn,VASN
Kyat1,KYAT1
Cpeb3,CPEB3
Baat,BAAT
Rxrb,RXRB
Spout1,SPOUT1
Dusp26,DUSP26
Icmt,ICMT
Oxld1,OXLD1
Zmynd8,None
Kcne2,KCNE2
Capsl,CAPSL
Tbc1d13,TBC1D13
Mrps6,MRPS6
Lap3,LAP3
Sdk1,SDK1
Zer1,ZER1
Tspan10,TSPAN10
Msantd3,MSANTD3
Ncoa7,NCOA7
Batf2,BATF2
Usp53,USP53
Nploc4,NPLOC4
Lmbrd2,LMBRD2
Ldb2,LDB2
Slc7a12,None
Plekhg5,PLEKHG5
Cplx3,CPLX3
Wdr34,None
Dock3,DOCK3
Ralyl,RALYL
Got1l1,GOT1L1
Trp53rka,None
Slc6a5,SLC6A5
Fnbp1l,FNBP1L
Prkrip1,PRKRIP1
Slx4,SLX4
Alg2,ALG2
Bahcc1,BAHCC1
Fam71f1,FAM71F1
Htatip2,HTATIP2
Orai2,ORAI2
Exo1,EXO1
Fbxl5,FBXL5
Alkbh4,ALKBH4
Dnttip2,DNTTIP2
Thap3,THAP3
Il22ra2,IL22RA2
Dnajc28,DNAJC28
Cc2d2a,CC2D2A
Dnajc11,DNAJC11
Ypel5,YPEL5
Polr2j,POLR2J
Galnt12,GALNT12
Defb3,None
Cep131,CEP131
Cpeb2,CPEB2
Kmo,KMO
Defb5,None
Cercam,CERCAM
Zfp597,None
Zfand1,ZFAND1
Cplane1,CPLANE1
Ncoa5,NCOA5
Gabbr2,GABBR2
Zc3h10,ZC3H10
Tbc1d2,TBC1D2
Xkr5,XKR5
Myl6b,MYL6B
Trub2,TRUB2
Wdr70,WDR70
Olig2,OLIG2
Arhgap29,ARHGAP29
Zfp335,None
Nhsl1,NHSL1
Slc45a1,SLC45A1
Epg5,EPG5
Zfp800,None
Mcph1,MCPH1
Rapgef1,None
Pcif1,PCIF1
Endov,ENDOV
X4932438H23Rik,None
Rere,RERE
Trim14,TRIM14
Srrm3,SRRM3
Slc44a3,SLC44A3
Neurl2,NEURL2
Slc39a5,SLC39A5
Heca,None
Lrrc17,LRRC17
Tmem120a,TMEM120A
Alg14,ALG14
Txlnb,TXLNB
Fgl2,FGL2
Armh3,ARMH3
Eva1c,EVA1C
Gpr37,GPR37
Slc26a11,SLC26A11
Cited2,CITED2
Spsb1,SPSB1
Pak7,None
Coq10a,None
Rhbdd2,RHBDD2
Urb1,URB1
Gsap,GSAP
Pik3cd,PIK3CD
Ptger4,PTGER4
Plcb4,None
Dag1,DAG1
Clstn1,CLSTN1
Stk32a,STK32A
Mrap,MRAP
Etfbkmt,None
Hip1,HIP1
Rhou,RHOU
Olfr906,None
Ccdc40,CCDC40
Zfp292,ZNF292
Rsbn1l,None
Tbc1d16,None
Deup1,DEUP1
Zc3h12d,ZC3H12D
Dtx4,DTX4
Ccdc32,CCDC32
Sinhcaf,SINHCAF
Phtf2,PHTF2
Ankrd13c,ANKRD13C
Cbx4,CBX4
Edrf1,EDRF1
Timeless,TIMELESS
Ifi203,IFI16
Magi2,MAGI2
Ginm1,GINM1
Bahd1,BAHD1
Gnaz,GNAZ
Slc7a5,SLC7A5
Fkbp6,FKBP6
Ptger3,PTGER3
Saa4,SAA4
Cox15,COX15
Lats1,LATS1
Rab11fip2,RAB11FIP2
Ythdf2,YTHDF2
Saa3,SAA3P
Elavl1,ELAVL1
Ipo8,IPO8
Stat2,STAT2
Nup43,NUP43
Disp2,DISP2
Negr1,NEGR1
Ift88,IFT88
Rbms2,RBMS2
Orc3,ORC3
Tph1,TPH1
Ndufb10,NDUFB10
Baz2a,BAZ2A
Gjb6,GJB6
Plcb2,PLCB2
Pfpl,None
Bub1b,BUB1B
Tnni3k,TNNI3K
Bmf,BMF
Flywch1,FLYWCH1
Klhl42,KLHL42
Plpp6,PLPP6
Gramd1b,GRAMD1B
Mrps35,MRPS35
Mettl11b,METTL11B
Cacna2d1,CACNA2D1
Rep15,REP15
Zmym5,ZMYM5
Gorab,GORAB
Gpr26,GPR26
Sdr9c7,SDR9C7
Pnrc1,None
Svs2,None
Gpr176,GPR176
Rdh7,RDH16
Abcc8,None
Ndp,NDP
X9430038I01Rik,None
Tdrd6,TDRD6
Rgl3,RGL3
Maob,MAOB
Hmx3,HMX3
Hs2st1,HS2ST1
Thbs1,THBS1
Wfdc5,None
Tax1bp3,TAX1BP3
X1700034J05Rik,None
Kcns1,KCNS1
Ikzf5,IKZF5
Fmo2,FMO2
Alkbh3,ALKBH3
X2310057M21Rik,None
Fmo1,FMO1
Ankrd6,ANKRD6
Arntl2,ARNTL2
Scamp2,SCAMP2
Ccdc114,None
X1700012D01Rik,None
Pclaf,PCLAF
Cuzd1,CUZD1
Zfp704,None
Emp3,EMP3
Kyat3,KYAT3
Ttc12,TTC12
Gas8,GAS8
Prrc2c,PRRC2C
Gpr34,GPR34
Syngr4,SYNGR4
Tm7sf3,TM7SF3
Trappc5,TRAPPC5
Fgfr1op2,FGFR1OP2
Tbc1d10c,TBC1D10C
Lrp1,LRP1
Ints13,None
Gbp7,None
Sema3d,SEMA3D
Nxph4,None
Daam2,DAAM2
Klhdc4,KLHDC4
Gbp2b,None
Dnm3,DNM3
Plekha1,PLEKHA1
Mrps28,MRPS28
Bach2,BACH2
Accs,ACCS
Cdk6,CDK6
Pacsin1,PACSIN1
Ndufa4l2,NDUFA4L2
BC052040,None
Btnl9,BTNL9
Stac3,STAC3
Hey1,HEY1
Ddx58,DDX58
Suco,SUCO
Btbd16,BTBD16
Rbm48,RBM48
Alx4,ALX4
Cchcr1,CCHCR1
Ctsg,CTSG
Zfp770,None
Slc25a24,SLC25A24
Dcaf1,DCAF1
Cul9,CUL9
Olfr56,OR2V1
Il7,IL7
Nsmce4a,None
Fam102b,FAM102B
Tex45,None
Arhgap9,None
Trim7,TRIM7
Ankib1,ANKIB1
Mars,None
Skiv2l,None
Ufl1,UFL1
Bcor,BCOR
Sec1,SEC1P
Trim41,TRIM41
Lrrd1,LRRD1
Etfrf1,ETFRF1
Gpr63,GPR63
Cacng5,CACNG5
Pex2,PEX2
Cbln3,CBLN3
Aqr,AQR
Ppp1ca,PPP1CA
Klhl32,None
Wdr47,WDR47
Map3k10,MAP3K10
Abhd13,ABHD13
Havcr1,HAVCR1
Akap9,AKAP9
Fbxl4,FBXL4
X5330417C22Rik,None
Timd2,None
Slc25a28,SLC25A28
Dtx3,DTX3
Cdh18,None
Rc3h1,RC3H1
Hipk4,HIPK4
Plekha4,PLEKHA4
Mterf1a,MTERF1
Pitpnc1,PITPNC1
Ltb4r2,LTB4R2
Zbtb38,None
Large2,LARGE2
Ppp1r15a,PPP1R15A
Slc26a10,SLC26A10
Rprd1a,RPRD1A
Spns2,SPNS2
Sgms1,SGMS1
Cdh12,CDH12
Usp45,USP45
H2ap,H2AP
Arglu1,ARGLU1
Os9,OS9
Mybbp1a,MYBBP1A
Gtpbp10,GTPBP10
Blvrb,BLVRB
Ggt6,GGT6
Rabggta,RABGGTA
Cfap69,CFAP69
Prdm13,PRDM13
Dgkz,DGKZ
Bptf,None
Dxo,DXO
Xaf1,XAF1
Lrrc52,LRRC52
Ltbp4,LTBP4
Sox30,SOX30
Lrfn2,LRFN2
Chrm4,CHRM4
Igsf23,None
March9,None
Abcg5,ABCG5
Ambra1,AMBRA1
Pvr,None
Tex47,TEX47
Manea,MANEA
Tsfm,TSFM
Tlr8,TLR8
Zfp609,None
Cblc,CBLC
Milr1,MILR1
Abhd11,ABHD11
Matn1,MATN1
Necab1,NECAB1
Adam22,ADAM22
Tmem225,TMEM225
Pitpnm3,PITPNM3
Tex2,TEX2
Ckap5,CKAP5
Otud6b,OTUD6B
C3ar1,C3AR1
Aipl1,AIPL1
Mettl27,None
Wdr7,WDR7
Gstm2,GSTM1
Plppr2,PLPPR2
Apoc1,APOC1
Btaf1,None
Slc26a7,SLC26A7
Rundc3b,RUNDC3B
Tmem270,TMEM270
Cyp2b13,None
Abcb1a,ABCB1
Ofd1,OFD1
X1110051M20Rik,None
Cd79b,CD79B
Ranbp17,RANBP17
Pogk,POGK
Mis12,MIS12
Eps8l3,EPS8L3
Nlrp4a,None
Bace2,BACE2
Kazn,KAZN
Tlx3,TLX3
Ildr2,ILDR2
Apobec1,APOBEC1
Nlrp9c,None
Tmem51,TMEM51
Pck2,PCK2
Dhx33,DHX33
Gemin8,GEMIN8
Plekhg1,None
Aicda,AICDA
Mael,MAEL
Dok4,DOK4
Nrl,NRL
Erc2,ERC2
Ppip5k2,PPIP5K2
Rimklb,RIMKLB
Cyp2b23,None
Tasor,TASOR
Oaz2,OAZ2
Ppp1r14c,PPP1R14C
Dnph1,DNPH1
Efhd2,EFHD2
Cyp2b9,None
Rad54l2,RAD54L2
Clcf1,CLCF1
Sh3bgr,SH3BGR
Nup88,NUP88
Phc1,PHC1
Mthfd1l,MTHFD1L
Kremen2,KREMEN2
Hmgn1,HMGN1
Madd,MADD
Tbl3,TBL3
Col16a1,COL16A1
Slco4c1,SLCO4C1
Apobec2,APOBEC2
Dnajc16,DNAJC16
Limd2,LIMD2
Ap1g2,AP1G2
Cyp2s1,CYP2S1
Agmat,AGMAT
St8sia4,ST8SIA4
Sh3pxd2b,SH3PXD2B
Camta2,CAMTA2
Creg1,CREG1
Klc3,KLC3
Rsc1a1,RSC1A1
Il17rd,IL17RD
Virma,VIRMA
Zfhx2,ZFHX2
Scamp5,SCAMP5
Rcsd1,RCSD1
Kcna2,KCNA2
Hnrnpul1,HNRNPUL1
Hesx1,HESX1
Esrp1,ESRP1
Cep126,CEP126
Eif4h,EIF4H
Erg,ERG
Ppp1r13l,PPP1R13L
Ints8,INTS8
Slc25a34,SLC25A34
Rnf167,RNF167
Cd53,CD53
Siah1b,None
Lat2,LAT2
Myh6,MYH6
Cmtm5,CMTM5
Appl1,APPL1
Spen,SPEN
Snrnp25,SNRNP25
Il25,None
Oard1,OARD1
Cept1,CEPT1
Cop1,COP1
Ttc3,TTC3
C1qtnf4,C1QTNF4
Iqcc,IQCC
Iqsec3,IQSEC3
S100g,S100G
Chil3,None
Eml2,EML2
Agbl2,AGBL2
Tex264,TEX264
Dennd6a,DENND6A
Hlcs,HLCS
X1700123O20Rik,None
Snrpd2,SNRPD2
Catsperd,CATSPERD
Zmynd15,ZMYND15
Gpr161,GPR161
Six5,SIX5
Szrd1,SZRD1
Tiprl,TIPRL
Sft2d2,SFT2D2
Psme4,PSME4
Plekhh2,PLEKHH2
Reps2,REPS2
Dlk1,DLK1
Erf,ERF
Bsdc1,BSDC1
Crocc,CROCC
Ino80d,INO80D
Rsph6a,RSPH6A
Begain,BEGAIN
Osbpl10,OSBPL10
Wdr25,WDR25
Tmem205,TMEM205
Gfer,GFER
Foxa3,FOXA3
Kcnd3,KCND3
Ccr6,CCR6
Kcnk18,KCNK18
Atp1a3,ATP1A3
Fbxw4,FBXW4
Slc19a2,SLC19A2
X4930505A04Rik,None
S100pbp,S100PBP
Rfx3,RFX3
Padi6,PADI6
Ulk4,ULK4
Slc16a11,SLC16A11
Arhgef1,ARHGEF1
Tet2,TET2
Rcc2,RCC2
Mgl2,None
Rps19,RPS19
Cables1,CABLES1
Asgr2,ASGR2
Arhgef10l,ARHGEF10L
Slc22a2,SLC22A2
Arhgef38,ARHGEF38
Igsf21,IGSF21
Gm11992,C7orf57
Sun3,SUN3
Mill2,None
Sh3kbp1,SH3KBP1
Abhd4,ABHD4
Npnt,NPNT
Trim62,TRIM62
Iqcf4,None
Cmtm8,CMTM8
Nrg3,NRG3
Map7d2,MAP7D2
Iffo2,IFFO2
Ghitm,GHITM
Dpcd,DPCD
Irgq,IRGQ
Fam117b,FAM117B
Lrit1,LRIT1
Ramp3,RAMP3
Slc7a13,SLC7A13
Wdr43,WDR43
Wwp1,WWP1
Mslnl,None
Pif1,PIF1
X4930596D02Rik,None
Nacad,NACAD
Fzd7,FZD7
Grid1,GRID1
Rwdd2b,RWDD2B
Ostc,OSTC
Tspyl2,TSPYL2
Elmo1,ELMO1
Iqsec2,IQSEC2
Ccdc8,CCDC8
Pde9a,PDE9A
Nbl1,NBL1
Msantd4,MSANTD4
H2afv,None
Zfp598,None
N4bp2l1,N4BP2L1
Smc1a,SMC1A
Cyyr1,CYYR1
Ripk2,RIPK2
Nme8,NME8
Pnmal1,None
Tmco4,TMCO4
Dnah7b,None
Brca2,BRCA2
Osgin2,None
Otud3,OTUD3
Zmiz2,ZMIZ2
Spem1,SPEM1
Lonp1,LONP1
Hectd2,HECTD2
Prkd2,PRKD2
Chrnb1,CHRNB1
Pla2g5,PLA2G5
Rpusd1,RPUSD1
Pla2g2d,PLA2G2D
Trir,TRIR
Map6d1,MAP6D1
Yeats2,YEATS2
Clvs1,CLVS1
Arhgap11a,ARHGAP11A
Elovl6,ELOVL6
Arhgap12,ARHGAP12
Phf8,PHF8
Ublcp1,UBLCP1
Chd7,CHD7
Vps41,VPS41
Pklr,PKLR
Rbbp8,RBBP8
Mul1,MUL1
Wnk3,WNK3
Lamp3,LAMP3
Kcnj1,KCNJ1
Tmco5b,None
Zfp236,None
Car8,None
Rusc1,RUSC1
Uspl1,USPL1
Dmxl2,DMXL2
Tox,TOX
Ttc1,TTC1
Sox15,SOX15
Adgrf1,ADGRF1
Cdk13,CDK13
Katnal1,KATNAL1
Cftr,CFTR
Gtf3c3,None
Sntb2,SNTB2
Nkx6.2,None
Slc7a1,SLC7A1
Thoc6,THOC6
Ak7,AK7
Inhba,INHBA
Pcf11,None
Atp1b2,ATP1B2
Mup4,None
Atg2b,ATG2B
Ankrd42,ANKRD42
Wrap53,WRAP53
Bdkrb1,BDKRB1
Rap1gap,RAP1GAP
Tmem29,None
Rgl2,RGL2
Ssr2,SSR2
Nutm1,NUTM1
Tcl1,None
Pum3,PUM3
Myzap,MYZAP
Shtn1,SHTN1
B4galnt3,B4GALNT3
Ccdc9,CCDC9
Ninj2,NINJ2
Cldn5,CLDN5
Htr2c,HTR2C
Mdfic,MDFIC
Mettl18,METTL18
X1700013G24Rik,None
BC055324,None
Wapl,WAPL
Dicer1,DICER1
Pik3r1,PIK3R1
Meis3,MEIS3
Paqr6,PAQR6
Hibch,HIBCH
Nthl1,NTHL1
Ccnb1,CCNB1
Utp4,UTP4
Mfsd6,MFSD6
Gk5,GK5
Arhgap32,ARHGAP32
Mmrn2,MMRN2
Rpl21,RPL21
Tardbp,TARDBP
Cacna2d4,CACNA2D4
Gpr12,GPR12
Shld2,SHLD2
Smpx,SMPX
Dcp1b,DCP1B
Syt15,SYT15
Piezo2,PIEZO2
Zfp281,None
Stx3,STX3
Cep78,CEP78
Kif14,KIF14
Gm3402,None
Rrp9,RRP9
Irf8,IRF8
Upk2,UPK2
Rnf123,RNF123
Ago1,AGO1
Rbp3,RBP3
H2.Ob,None
Sox5,SOX5
Disp3,DISP3
Hspb8,HSPB8
Serpina5,SERPINA5
Ptchd1,None
Fbxo2,FBXO2
Fmod,FMOD
Nop53,NOP53
L3mbtl4,L3MBTL4
Tssk1,None
Serpina12,SERPINA12
Camsap2,CAMSAP2
Selenow,SELENOW
Prelp,PRELP
Crx,CRX
Obox6,None
Sdk2,SDK2
Tmtc4,TMTC4
Nlrp5.ps,None
Cdc42ep4,CDC42EP4
Inava,INAVA
Mbp,MBP
Entpd3,None
Bicdl1,BICDL1
Nppa,NPPA
Ccdc74a,None
Mmp1b,MMP1
D11Wsu47e,C17orf80
Gucy1a2,None
Ggact,GGACT
Fam104a,None
Mrps27,MRPS27
Kctd12b,None
Gcn1,GCN1
Kif21b,KIF21B
Slc5a12,SLC5A12
Ddx24,DDX24
Klf8,KLF8
Pcca,PCCA
Pnpla3,PNPLA3
Slc39a11,SLC39A11
Rragb,RRAGB
Bbox1,BBOX1
Prima1,PRIMA1
Rims1,RIMS1
Pyroxd1,PYROXD1
Lrrc18,LRRC18
Lrrc29,None
Iapp,IAPP
Bivm,BIVM
Fcho2,FCHO2
Amot,AMOT
Kcnj2,KCNJ2
Rasl12,RASL12
Cox6a1,COX6A1
Lhfpl1,LHFPL1
Btbd7,BTBD7
Zic5,ZIC5
Tmem273,None
Mpped1,MPPED1
Trpc5,TRPC5
Ubr7,UBR7
Gm20604,None
Alg13,ALG13
Pi4ka,PI4KA
Khdc1c,KHDC1L
Coro2b,CORO2B
Prrxl1,None
Pgm5,PGM5
Coq5,COQ5
Kirrel,None
AAdacl4fm3,None
Tspo,TSPO
Tmem45b,TMEM45B
Rnf10,RNF10
Pde3a,PDE3A
Utp15,UTP15
Trem3,None
Plekha6,PLEKHA6
Gpr155,None
Tpp2,TPP2
Ubac2,UBAC2
Ppp2r2d,PPP2R2D
Slc24a4,SLC24A4
Enc1,ENC1
Ydjc,YDJC
Mapk1ip1,None
Cir1,CIR1
Tram2,TRAM2
Cpsf2,CPSF2
Lad1,LAD1
Capza3,CAPZA3
Myrip,MYRIP
Abca9,ABCA9
Gck,GCK
Phlda3,PHLDA3
Pramel1,None
Efhc1,EFHC1
Poldip3,POLDIP3
Fam169a,FAM169A
Oasl1,OASL
Sytl3,SYTL3
Ptpre,PTPRE
Pdcd7,PDCD7
Haus1,HAUS1
Rpl37,RPL37
Fhdc1,FHDC1
Rhod,RHOD
Ppp4r3a,PPP4R3A
Card6,None
Tcf20,TCF20
Oosp1,OOSP1
Mcm3,MCM3
Ankrd13a,ANKRD13A
Il17f,IL17F
Ipo9,IPO9
Ndufa7,NDUFA7
Macc1,None
Shisa4,SHISA4
Git2,GIT2
Lman1,LMAN1
Wipi1,WIPI1
Gpr45,GPR45
Dlx1,DLX1
Tdrkh,TDRKH
Ammecr1l,AMMECR1L
Slc16a6,SLC16A6
Metap1d,METAP1D
Nol4,NOL4
Rnpep,RNPEP
Fam222a,FAM222A
AW549877,None
Agrn,AGRN
Mvk,MVK
Mfsd9,MFSD9
Tango6,TANGO6
Tnfrsf18,TNFRSF18
Pkp2,None
Pigs,PIGS
S100a10,S100A10
Znrf3,ZNRF3
Dcaf17,DCAF17
Spidr,SPIDR
Mettl8,METTL8
Arhgef11,None
Rptn,RPTN
Elmod1,ELMOD1
Hrnr,HRNR
Rapgef5,RAPGEF5
Zbed3,ZBED3
Tlk1,TLK1
Foxn4,FOXN4
Acacb,ACACB
Wdr41,WDR41
Ncapg2,NCAPG2
Lce3b,None
Mat2b,MAT2B
Igsf3,IGSF3
X2010003K11Rik,None
Csgalnact2,CSGALNACT2
Tbca,TBCA
Sln,SLN
Dstyk,DSTYK
Wdr60,None
Wdr11,WDR11
Zfp386,None
Myo3b,MYO3B
Tmcc2,TMCC2
Abhd14b,ABHD14B
Svop,SVOP
Hnrnpf,HNRNPF
Arsb,ARSB
Lce1c,None
Dao,DAO
Zfp239,None
Kank3,KANK3
Dmgdh,DMGDH
Uggt2,None
Inpp5f,INPP5F
Inka1,INKA1
Csdc2,CSDC2
Ccdc115,CCDC115
Klhdc8a,KLHDC8A
Vwa1,VWA1
Bhmt2,BHMT2
Ssh1,SSH1
Lce1f,None
Rassf4,RASSF4
Ppig,PPIG
Msantd2,MSANTD2
Cox10,COX10
Klhl23,KLHL23
Dzip1,DZIP1
Sprr2i,None
Tent2,TENT2
Armc5,ARMC5
Pnliprp1,PNLIPRP1
Bend6,BEND6
X1700069L16Rik,None
Nfrkb,NFRKB
Tekt3,TEKT3
Cmklr1,CMKLR1
Slc35f2,SLC35F2
Zfp451,None
Chchd7,CHCHD7
Cdrt4,CDRT4
Slc35e2,None
Tbc1d22b,None
Kdm5b,KDM5B
X0610010F05Rik,None
Abhd14a,ABHD14A
Fbxo38,FBXO38
Sprr2d,None
Zfand4,ZFAND4
Bag2,BAG2
Sgsm1,SGSM1
Olfr631,None
Ammecr1,AMMECR1
Lyn,LYN
Rabif,RABIF
Crybb2,CRYBB2
BC051665,None
Pglyrp3,PGLYRP3
Tmc7,TMC7
Cyp2c37,None
Grk3,None
Pglyrp4,PGLYRP4
Pm20d1,PM20D1
Cilp,CILP
Ptchd4,PTCHD4
Isl1,ISL1
Ccr8,CCR8
Trem1,TREM1
Slc26a9,SLC26A9
Fam92b,None
Nxt2,NXT2
Sestd1,SESTD1
Pelo,PELO
H1f8,None
Gucy2f,GUCY2F
Itga1,ITGA1
Stab1,STAB1
Hsd3b7,HSD3B7
Mrtfa,MRTFA
Gm5617,C11orf71
Ttc19,TTC19
Ehbp1,EHBP1
Sgsm3,SGSM3
Tmem183a,None
S100a14,S100A14
Setd1a,SETD1A
S100a13,S100A13
Prox2,PROX2
Pbrm1,PBRM1
Hps4,HPS4
Specc1,SPECC1
Tnfrsf14,TNFRSF14
Ctf1,CTF1
Ubash3a,UBASH3A
Arl15,ARL15
Ikbke,IKBKE
Arel1,AREL1
Grap2,GRAP2
Frem3,FREM3
Gnl3,GNL3
Gjb5,GJB5
Osbpl6,OSBPL6
Lgalsl,LGALSL
Snx18,SNX18
Gjb3,GJB3
Rbm45,RBM45
Slc5a10,SLC5A10
Dmrt3,DMRT3
Fam83g,FAM83G
Esm1,ESM1
Smim12,SMIM12
Gzmk,GZMK
Tex13b,None
Dlgap3,DLGAP3
Tsen2,TSEN2
Gatad2b,GATAD2B
Rbm7,RBM7
Crtac1,CRTAC1
Dennd4b,DENND4B
Atf4,ATF4
Zmym6,None
Agps,AGPS
Prdm14,PRDM14
Ccno,CCNO
Nfkbil1,NFKBIL1
Fbrs,FBRS
Frmpd3,None
Dhx29,DHX29
Mgat3,MGAT3
Adora1,ADORA1
Pih1h3b,None
Mfap4,MFAP4
Zfp532,None
Mindy2,MINDY2
Zmym4,ZMYM4
Mios,MIOS
Hoxd1,HOXD1
Mybph,MYBPH
Reln,RELN
Bpifa2,BPIFA2
C1galt1,C1GALT1
Dctpp1,DCTPP1
Zfp410,None
Tbc1d8b,TBC1D8B
Fcmr,FCMR
Abcb4,ABCB4
Tfap2e,TFAP2E
Mustn1,MUSTN1
Leo1,LEO1
Clspn,CLSPN
Tbc1d10b,TBC1D10B
Prdm10,PRDM10
Radx,RADX
Hoxd11,HOXD11
Ago4,AGO4
Cpa6,CPA6
Cd2bp2,CD2BP2
Sdhaf3,SDHAF3
Usp22,USP22
Elmsan1,None
Dmtf1,DMTF1
AA986860,None
Klhl14,KLHL14
Pwwp3b,PWWP3B
Ubap2l,UBAP2L
Dnal1,DNAL1
Sun2,SUN2
X4933428M09Rik,None
Kcnj12,KCNJ12
Golga7b,None
Gtpbp1,GTPBP1
Acot5,None
Sem1,SEM1
Asxl1,ASXL1
Zp3r,None
Sin3a,SIN3A
Adprhl2,None
Fam227a,None
Nek10,NEK10
Dhrs7b,DHRS7B
Mier2,MIER2
Ube2q1,UBE2Q1
Thsd7b,THSD7B
Cux2,CUX2
Ipo11,IPO11
Sh2b3,SH2B3
Fam199x,FAM199X
Tfap2d,TFAP2D
Kdm7a,KDM7A
Kcna4,KCNA4
Atxn2,ATXN2
Hirip3,HIRIP3
Asb4,ASB4
Stk40,STK40
Pbxip1,PBXIP1
Oscp1,OSCP1
Maff,MAFF
Safb2,SAFB2
Shc1,SHC1
Zfyve1,ZFYVE1
Xkr7,XKR7
Pla2g6,PLA2G6
Gucy2c,GUCY2C
Rgsl1,None
Flad1,FLAD1
Itpr3,ITPR3
Acad12,None
Alkbh5,ALKBH5
Shisal2b,SHISAL2B
Arrdc4,ARRDC4
Wdr55,WDR55
Dusp15,DUSP15
Immp1l,IMMP1L
Rgs8,RGS8
Dcst1,DCST1
Ypel3,YPEL3
Zc3h12a,ZC3H12A
Myo15,None
Garem1,GAREM1
Selenok,SELENOK
Npl,NPL
Jph1,JPH1
Mapk6,MAPK6
Stn1,STN1
Dhx9,DHX9
Sipa1l1,SIPA1L1
Commd10,COMMD10
Dnali1,DNALI1
Shcbp1l,SHCBP1L
Atpaf2,ATPAF2
Tceal9,TCEAL9
Ppp1r3a,PPP1R3A
Naa25,NAA25
Map3k9,MAP3K9
Trafd1,TRAFD1
Wdr74,WDR74
Ttc9,TTC9
Dpm3,DPM3
Bmt2,BMT2
Sgtb,SGTB
Hectd4,None
Id1,ID1
Krtcap2,KRTCAP2
Bex2,BEX1
Nmnat2,NMNAT2
Tmem108,TMEM108
Apobr,APOBR
Mrap2,MRAP2
Maneal,MANEAL
Trim46,TRIM46
Hebp1,HEBP1
Smg7,SMG7
Olfr1353,None
Muc1,MUC1
Exog,EXOG
Fam166b,FAM166B
Rnf214,RNF214
Lgr6,LGR6
Olfr1032,None
Aqp11,AQP11
Spata46,SPATA46
Olfr769,None
Gpr153,GPR153
Hecw2,HECW2
Gpx2,GPX2
Krba1,KRBA1
Foxf1,FOXF1
Mcts2,MCTS2P
Gpr151,GPR151
Flt3,FLT3
Snai1,SNAI1
Fgf11,FGF11
Trim72,TRIM72
Alkbh6,ALKBH6
Nrep,NREP
Serpinb6b,None
Wfdc12,WFDC12
Lrrtm3,LRRTM3
Vmn1r226,None
Olfr1414,None
Zc3h6,ZC3H6
Trp53rkb,None
Kcna10,KCNA10
Olfr1026,None
Olfr1370,None
Tom1,TOM1
Lhfpl4,LHFPL4
Prr30,PRR30
Olfr1260,None
Abra,ABRA
Aida,AIDA
Foxo4,FOXO4
Olfr648,None
Mamstr,MAMSTR
Greb1l,GREB1L
Egflam,EGFLAM
Sbk1,SBK1
Upk3b,UPK3B
Notum,NOTUM
Borcs5,BORCS5
Ifnk,IFNK
Nhlrc3,NHLRC3
Rasef,RASEF
Gng2,GNG2
Klhl6,KLHL6
Onecut1,ONECUT1
Nemp2,NEMP2
Ptgir,PTGIR
Edem3,EDEM3
Wdr63,None
Trpv3,TRPV3
Ccdc63,CCDC63
Tnp2,TNP2
Disc1,DISC1
Zfp513,None
Fscb,FSCB
Tmem18,TMEM18
Spice1,SPICE1
Vmn1r66,None
Dpy19l1,DPY19L1
Fam89a,FAM89A
Usp17le,None
Synpo,SYNPO
Tmem82,TMEM82
